序号,汉字,声调,拼音,2075北京话音系,UntPhesoca宽,UntPhesoca严,Standard Chinese (Beijing),Standard Chinese (Beijing)严,胡裕树《现代汉语》,黄伯荣、廖序东《现代汉语》,钱乃荣《现代汉语》,吴宗济,赵元任《汉语口语语法》,《汉语方音字汇》
112,鴳,1,an,ɜɹ̃˥·,an˥·,a̠n̚˥·,an˥·,a̝n˥·,an˥·,an˥·,æⁿ˥·,an˥·,an˥·,an˥·
113,諳,1,an,ɜɹ̃˥·,an˥·,a̠n̚˥·,an˥·,a̝n˥·,an˥·,an˥·,æⁿ˥·,an˥·,an˥·,an˥·
114,玵,2,an,ɜɹ̃˧˦·,an˧˥·,a̠n̚˧˥·,an˧˥·,a̝n˧˥·,an˧˥·,an˧˥·,æⁿ˧˥·,an˧˥·,an˧˥·,an˧˥·
115,雸,2,an,ɜɹ̃˧˦·,an˧˥·,a̠n̚˧˥·,an˧˥·,a̝n˧˥·,an˧˥·,an˧˥·,æⁿ˧˥·,an˧˥·,an˧˥·,an˧˥·
116,儑,2,an,ɜɹ̃˧˦·,an˧˥·,a̠n̚˧˥·,an˧˥·,a̝n˧˥·,an˧˥·,an˧˥·,æⁿ˧˥·,an˧˥·,an˧˥·,an˧˥·
117,垵,3,an,ɜɹ̃˨˩̰·,an˨˩˦·,a̠n̚˨˩˦·,an˨˩˧·,a̝n˨˩˧·,an˨˩˦·,an˨˩˦·,æⁿ˨˩˦·,an˨˩˦·,an˨˩˦·,an˨˩˦·
118,俺,3,an,ɜɹ̃˨˩̰·,an˨˩˦·,a̠n̚˨˩˦·,an˨˩˧·,a̝n˨˩˧·,an˨˩˦·,an˨˩˦·,æⁿ˨˩˦·,an˨˩˦·,an˨˩˦·,an˨˩˦·
119,唵,3,an,ɜɹ̃˨˩̰·,an˨˩˦·,a̠n̚˨˩˦·,an˨˩˧·,a̝n˨˩˧·,an˨˩˦·,an˨˩˦·,æⁿ˨˩˦·,an˨˩˦·,an˨˩˦·,an˨˩˦·
120,埯,3,an,ɜɹ̃˨˩̰·,an˨˩˦·,a̠n̚˨˩˦·,an˨˩˧·,a̝n˨˩˧·,an˨˩˦·,an˨˩˦·,æⁿ˨˩˦·,an˨˩˦·,an˨˩˦·,an˨˩˦·
121,铵,3,an,ɜɹ̃˨˩̰·,an˨˩˦·,a̠n̚˨˩˦·,an˨˩˧·,a̝n˨˩˧·,an˨˩˦·,an˨˩˦·,æⁿ˨˩˦·,an˨˩˦·,an˨˩˦·,an˨˩˦·
122,隌,3,an,ɜɹ̃˨˩̰·,an˨˩˦·,a̠n̚˨˩˦·,an˨˩˧·,a̝n˨˩˧·,an˨˩˦·,an˨˩˦·,æⁿ˨˩˦·,an˨˩˦·,an˨˩˦·,an˨˩˦·
