序号,汉字,声调,拼音,2075北京话音系,UntPhesoca宽,UntPhesoca严,Standard Chinese (Beijing),Standard Chinese (Beijing)严,胡裕树《现代汉语》,黄伯荣、廖序东《现代汉语》,钱乃荣《现代汉语》,吴宗济,赵元任《汉语口语语法》,《汉语方音字汇》
12366,諿,1,qi,t͡sʰi̞˥·,t͡ɕʰi˥·,t͡ɕʰi˥·,tɕʰi˥·,tɕʰi˥·,tɕʻi˥·,tɕʻi˥·,tɕʻi˥·,tɕʻi˥·,tɕʰi˥·,tɕʻi˥·
12367,霋,1,qi,t͡sʰi̞˥·,t͡ɕʰi˥·,t͡ɕʰi˥·,tɕʰi˥·,tɕʰi˥·,tɕʻi˥·,tɕʻi˥·,tɕʻi˥·,tɕʻi˥·,tɕʰi˥·,tɕʻi˥·
12368,蹊,1,qi,t͡sʰi̞˥·,t͡ɕʰi˥·,t͡ɕʰi˥·,tɕʰi˥·,tɕʰi˥·,tɕʻi˥·,tɕʻi˥·,tɕʻi˥·,tɕʻi˥·,tɕʰi˥·,tɕʻi˥·
12369,蹊,1,xi,ɕˢi̞˥·,ɕi˥·,ɕi˥·,ɕi˥·,ɕi˥·,ɕi˥·,ɕi˥·,ɕi˥·,ɕi˥·,ɕi˥·,ɕi˥·
12370,魌,1,qi,t͡sʰi̞˥·,t͡ɕʰi˥·,t͡ɕʰi˥·,tɕʰi˥·,tɕʰi˥·,tɕʻi˥·,tɕʻi˥·,tɕʻi˥·,tɕʻi˥·,tɕʰi˥·,tɕʻi˥·
12371,鏚,1,qi,t͡sʰi̞˥·,t͡ɕʰi˥·,t͡ɕʰi˥·,tɕʰi˥·,tɕʰi˥·,tɕʻi˥·,tɕʻi˥·,tɕʻi˥·,tɕʻi˥·,tɕʰi˥·,tɕʻi˥·
12372,鶈,1,qi,t͡sʰi̞˥·,t͡ɕʰi˥·,t͡ɕʰi˥·,tɕʰi˥·,tɕʰi˥·,tɕʻi˥·,tɕʻi˥·,tɕʻi˥·,tɕʻi˥·,tɕʰi˥·,tɕʻi˥·
12373,碕,1,qi,t͡sʰi̞˥·,t͡ɕʰi˥·,t͡ɕʰi˥·,tɕʰi˥·,tɕʰi˥·,tɕʻi˥·,tɕʻi˥·,tɕʻi˥·,tɕʻi˥·,tɕʰi˥·,tɕʻi˥·
12374,螇,1,qi,t͡sʰi̞˥·,t͡ɕʰi˥·,t͡ɕʰi˥·,tɕʰi˥·,tɕʰi˥·,tɕʻi˥·,tɕʻi˥·,tɕʻi˥·,tɕʻi˥·,tɕʰi˥·,tɕʻi˥·
12375,傶,1,qi,t͡sʰi̞˥·,t͡ɕʰi˥·,t͡ɕʰi˥·,tɕʰi˥·,tɕʰi˥·,tɕʻi˥·,tɕʻi˥·,tɕʻi˥·,tɕʻi˥·,tɕʰi˥·,tɕʻi˥·
12376,迉,1,qi,t͡sʰi̞˥·,t͡ɕʰi˥·,t͡ɕʰi˥·,tɕʰi˥·,tɕʰi˥·,tɕʻi˥·,tɕʻi˥·,tɕʻi˥·,tɕʻi˥·,tɕʰi˥·,tɕʻi˥·
12377,軙,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12378,荎,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12379,饑,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12380,亓,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12381,祁,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12382,齐,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12383,圻,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12384,岐,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12385,岓,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12386,忯,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12387,芪,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12388,亝,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12389,其,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12390,奇,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12391,奇,1,ji,t͡si̞˥·,t͡ɕi˥·,d̥͡ʑ̥i˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·,tɕi˥·
12392,斉,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12393,歧,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12394,祇,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12395,祈,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12396,肵,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12397,疧,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12398,竒,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12399,剘,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12400,斊,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12401,旂,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12402,脐,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12403,蚑,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12404,蚔,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12405,蚚,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12406,颀,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12407,埼,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12408,崎,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12409,掑,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12410,淇,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12411,渏,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12412,猉,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12413,畦,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12414,萁,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12415,跂,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12416,軝,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12417,釮,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12418,骐,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12419,骑,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12420,嵜,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12421,棊,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12422,棋,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12423,琦,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12424,琪,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12425,祺,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12426,蛴,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12427,愭,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12428,碁,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12429,鬿,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12430,旗,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12431,粸,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12432,綥,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12433,綦,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12434,綨,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12435,緕,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12436,蜝,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12437,蜞,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12438,齊,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12439,禥,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12440,蕲,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12441,螧,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12442,鲯,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12443,濝,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12444,藄,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12445,檱,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12446,櫀,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12447,簱,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12448,臍,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12449,騎,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12450,騏,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12451,鳍,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12452,蘄,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12453,鵸,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12454,鶀,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12455,麒,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12456,籏,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12457,纃,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
12458,艩,2,qi,t͡sʰi̞˧˦·,t͡ɕʰi˧˥·,t͡ɕʰi˧˥·,tɕʰi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʻi˧˥·,tɕʰi˧˥·,tɕʻi˧˥·
